Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
09427,"Abiyuch, raw",1.5,17.6,0.1,,
09002,"Acerola juice, raw",0.4,4.8,0.3,,
09001,"Acerola, (west indian cherry), raw",0.4,7.69,0.3,,
11001,"Alfalfa seeds, sprouted, raw",3.99,2.1,0.69,,
20002,"Amaranth grain, cooked",3.8,18.69,1.58,,
20001,"Amaranth grain, uncooked",13.56,65.25,7.02,,
11700,"Amaranth leaves, cooked, boiled, drained, with salt",2.11,4.11,0.18,,
11004,"Amaranth leaves, cooked, boiled, drained, without salt",2.11,4.11,0.18,,
11003,"Amaranth leaves, raw",2.46,4.02,0.33,,
09400,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.1,11.3,0.13,,
09517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.12,11.49,0.17,,
09016,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",0.1,11.3,0.13,,
09018,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",0.14,11.54,0.1,,
09411,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",0.14,11.54,0.1,,
09410,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",0.51,41.0,0.37,,
09017,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",0.51,41.0,0.37,,
09008,"Apples, canned, sweetened, sliced, drained, heated",0.18,16.84,0.43,,
09007,"Apples, canned, sweetened, sliced, drained, unheated",0.18,16.7,0.49,,
09010,"Apples, dehydrated (low moisture), sulfured, stewed",0.28,19.91,0.12,,
09009,"Apples, dehydrated (low moisture), sulfured, uncooked",1.32,93.53,0.58,,
09013,"Apples, dried, sulfured, stewed, with added sugar",0.2,20.73,0.07,,
09012,"Apples, dried, sulfured, stewed, without added sugar",0.22,15.32,0.07,,
